attendance_id,member_code,checked_in_at,source
AT-001,MEM-001,2026-08-20T07:30:00,kiosk
AT-002,MEM-001,2026-08-15T07:32:00,kiosk
AT-003,MEM-002,2026-09-01T18:10:00,kiosk
AT-004,MEM-002,2026-08-25T18:15:00,kiosk
AT-005,MEM-003,2026-09-02T09:00:00,manual
AT-006,MEM-004,2026-08-30T17:30:00,kiosk
AT-007,MEM-004,2026-08-25T17:35:00,kiosk
AT-008,MEM-005,2026-07-02T06:50:00,kiosk
AT-009,MEM-007,2026-09-01T07:00:00,kiosk
AT-010,MEM-007,2026-08-28T07:15:00,kiosk
AT-011,MEM-008,2026-08-29T10:00:00,kiosk
AT-012,MEM-009,2026-09-03T18:00:00,kiosk
AT-013,MEM-009,2026-09-01T18:05:00,kiosk
AT-014,MEM-010,2026-08-31T08:30:00,kiosk
AT-015,MEM-010,2026-08-25T08:45:00,kiosk
AT-016,MEM-011,2026-09-04T07:00:00,kiosk
AT-017,MEM-011,2026-09-02T07:10:00,kiosk
AT-018,MEM-012,2026-07-20T09:00:00,kiosk
AT-019,MEM-013,2026-09-01T19:00:00,kiosk
AT-020,MEM-015,2026-09-03T17:00:00,kiosk
AT-021,MEM-015,2026-09-01T17:30:00,kiosk
